"rgn_id","r0","r1","r2"
1,1,9,53
2,1,9,53
3,1,9,53
4,1,9,53
5,1,9,54
6,1,9,54
7,1,9,54
8,1,9,57
9,1,9,57
10,1,9,57
11,1,9,57
12,1,9,57
13,1,9,57
14,1,142,30
15,1,142,35
16,1,9,53
17,1,9,54
18,1,9,54
19,1,9,61
20,1,142,30
21,1,142,30
24,1,142,35
25,1,142,35
26,1,142,35
28,1,2,14
29,1,2,14
30,1,2,14
31,1,2,14
32,1,2,14
33,1,2,14
34,1,2,14
35,1,2,14
36,1,2,14
37,1,2,14
38,1,142,34
39,1,142,34
40,1,142,34
41,1,2,14
42,1,2,14
43,1,2,14
44,1,2,14
45,1,2,14
46,1,2,14
47,1,142,145
48,1,142,145
49,1,2,15
50,1,142,145
51,1,142,145
52,1,142,145
53,1,142,34
54,1,142,145
55,1,150,39
56,1,2,11
57,1,150,39
58,1,150,39
59,1,150,155
60,1,150,39
61,1,2,15
62,1,2,15
63,1,2,15
64,1,2,11
65,1,2,11
66,1,2,11
67,1,2,15
68,1,150,39
69,1,150,154
70,1,150,154
71,1,150,151
72,1,150,151
73,1,150,151
74,1,142,145
75,1,150,151
76,1,142,145
77,1,142,145
78,1,142,145
79,1,142,145
80,1,150,39
81,1,142,145
82,1,150,39
84,1,2,15
85,1,150,154
86,1,150,154
88,1,150,154
89,1,999,999
90,1,999,999
91,1,999,999
92,1,999,999
93,1,999,999
94,1,999,999
95,1,150,154
96,1,2,11
97,1,2,11
98,1,2,11
99,1,2,11
100,1,2,17
101,1,2,18
102,1,2,18
103,1,2,17
104,1,2,17
105,1,999,999
106,1,2,11
107,1,419,13
108,1,419,29
110,1,419,29
111,1,419,29
112,1,419,29
113,1,419,29
114,1,419,29
115,1,419,29
116,1,419,29
117,1,419,29
118,1,419,29
119,1,419,29
120,1,419,29
121,1,419,29
122,1,419,29
123,1,419,29
124,1,419,29
125,1,419,29
126,1,419,29
127,1,419,29
129,1,419,13
130,1,419,13
131,1,419,13
132,1,419,5
133,1,419,13
134,1,419,13
135,1,419,13
136,1,419,13
137,1,419,5
138,1,419,5
139,1,419,5
140,1,419,29
141,1,150,154
143,1,150,154
144,1,150,154
145,1,150,154
146,1,9,61
147,1,9,61
148,1,9,57
149,1,9,57
150,1,9,57
151,1,9,61
152,1,9,61
153,1,9,61
154,1,9,61
155,1,9,61
156,1,9,61
157,1,9,57
158,1,9,57
159,1,9,57
161,1,9,61
162,1,9,53
163,1,19,21
164,1,419,13
166,1,419,29
167,1,419,5
168,1,419,5
169,1,419,5
171,1,419,5
172,1,419,5
173,1,419,5
174,1,150,154
175,1,150,154
176,1,150,155
177,1,150,155
178,1,150,151
179,1,150,155
180,1,150,154
181,1,150,154
182,1,150,39
183,1,150,39
184,1,150,39
185,1,150,155
186,1,150,39
187,1,150,39
188,1,150,39
189,1,150,154
190,1,142,145
191,1,142,34
192,1,142,145
193,1,2,11
194,1,2,11
195,1,2,11
196,1,2,11
197,1,2,17
198,1,2,17
199,1,2,17
200,1,2,17
202,1,2,14
203,1,142,34
204,1,142,34
205,1,142,35
206,1,142,35
207,1,142,35
208,1,142,35
209,1,142,30
210,1,142,30
212,1,9,57
214,1,2,15
215,1,142,145
216,1,142,35
218,1,19,21
219,1,19,21
220,1,419,29
221,1,419,29
222,1,150,154
223,1,150,154
224,1,419,5
227,1,150,154
228,1,150,154
231,1,142,35
232,1,150,39
237,1,142,35
244,1,419,29
245,1,419,29
247,1,142,35
248,1,419,29
249,1,419,29
250,1,419,29
