"layer","targets","title","description","citation","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique"
"i_fis_bt","FIS | MAR","Fisheries model variable","biomass total (Bt)","6A","tonnes","6A_fis_bt.csv",,"country_id","value","year",,,TRUE,,,,,"NA tonnes",,171
"i_fis_mmsy","FIS | Pressures","Fisheries model variable","mMSY","6A","tonnes","6A_fis_mmsy.csv",,"country_id","value",,,,TRUE,,,,,"NA tonnes",,171
"i_fis_tc","FIS","Fisheries model variable","taxonomic correction (Tc)","6A","score","6A_fis_tc.csv",,"country_id","value",,,,TRUE,,,,,"NA score",,171
"i_fp_w","FP","Food Provision model variable","weight","6A","score","6A_fp_w.csv","region_id",,"value",,,,TRUE,,,,,"NA score",,171
"i_mar_sm","MAR","Mariculture model variable","sustainability scores (Smk)","6A","score","6A_mar_sm.csv",,"country_id","category",,,,TRUE,,,,"value","NA score",,171
"i_mar_sppex","MAR","Mariculture model variable","species exceptions","6A","boolean","6A_mar_sppex.csv",,,"category",,,,TRUE,,,,"value","NA boolean",,171
"i_mar_yc","MAR","Mariculture model variable","yield per unit area (Yc)","6A","tonnes/km2","6A_mar_yc.csv","region_id",,"value","year",,,TRUE,,,,,"NA tonnes.km2",,171
"i_mar_ymsm","MAR","Mariculture model variable","adjusted yield (Ym*Sm)","6A","tonnes","6A_mar_ymsm.csv","region_id",,"value","year",,,TRUE,,,,,"NA tonnes",,171
"i_ao_du","AO","Artisanal Fishing Opportunities model variable","unmet demand (Du)","6B","score","6B_ao_du.csv","region_id",,"value","year",,,TRUE,,,,,"NA score",,171
"i_np_hp","NP","Natural Products model variable","harvest (Hp)","6C","tonnes","6C_np_hp.csv",,"country_id","category","year",,,TRUE,,,,"value","NA tonnes",,171
"i_np_sp","NP","Natural Products model variable","sustainability (Sp)","6C","score","6C_np_sp.csv",,"country_id","category","year",,,TRUE,,,,"value","NA score",,171
"i_np_wp","NP","Natural Products model variable","weight","6C","score","6C_np_wp.csv",,"country_id","category","year",,,TRUE,,,,"value","NA score",,171
"i_cs_extent","CS","Carbon Storage model variable","habitat extent (Ak)","6D","km2","6D_cs_extent.csv","region_id",,"category",,,,TRUE,,,,"value","NA km2",,171
"i_cs_health","CS","Carbon Storage model variable","current vs. reference condition (Cc/Cr)","6D","ratio","6D_cs_health.csv","region_id",,"category",,,,TRUE,,,,"value","NA ratio",,171
"i_cp_extent","CP","Coastal Protection model variable","habitat extent (Ak)","6E","km2","6E_cp_extent.csv","region_id",,"category",,,,TRUE,,,,"value","NA km2",,171
"i_cp_health","CP","Coastal Protection model variable","current vs. reference condition (Cc/Cr)","6E","ratio","6E_cp_health.csv","region_id",,"category",,,,TRUE,,,,"value","NA ratio",,171
"i_cp_rank","CP","Coastal Protection model variable","habitat rank (wk)","6E","rank","6E_cp_rank.csv","region_id",,"category",,,,TRUE,,,,"value","NA rank",,171
"i_eco_rev_adj_gdp","ECO","Economies model variable","revenue adjustment (GDP)","6F","USD","6F_eco_rev_adj_gdp.csv",,"country_id","value","year",,,TRUE,,,,,"NA usd",,171
"i_eco_rev_aqf","ECO","Economies model variable","revenue (AQF)","6F","USD","6F_eco_rev_aqf.csv",,"country_id","value","year",,,TRUE,,,,,"NA usd",,171
"i_eco_rev_cf","ECO","Economies model variable","revenue (CF)","6F","USD","6F_eco_rev_cf.csv",,"country_id","value","year",,,TRUE,,,,,"NA usd",,171
"i_eco_rev_mar","ECO","Economies model variable","revenue (MAR)","6F","USD","6F_eco_rev_mar.csv",,"country_id","value","year",,,TRUE,,,,,"NA usd",,171
"i_eco_rev_mmw","ECO","Economies model variable","revenue (MMW)","6F","USD","6F_eco_rev_mmw.csv",,"country_id","value","year",,,TRUE,,,,,"NA usd",,171
"i_eco_rev_tour","ECO","Economies model variable","revenue (TOUR)","6F","USD","6F_eco_rev_tour.csv",,"country_id","value","year",,,TRUE,,,,,"NA usd",,171
"i_eco_rev_wte","ECO","Economies model variable","revenue (WTE)","6F","USD","6F_eco_rev_wte.csv",,"country_id","value","year",,,TRUE,,,,,"NA usd",,171
"i_le_refperiod","LE","Coastal Livelihoods and Economies model variable","reference periods","6F","year","6F_le_refperiod.csv",,"country_id","category","year","year",,TRUE,2000,2010,FALSE,"value",,,171
"i_liv_jobs_adj_unemp","LIV","Livelihoods model variable","jobs adjustment (unemployment)","6F","percent","6F_liv_jobs_adj_unemp.csv",,"country_id","value","year",,,TRUE,,,,,"NA percent",,171
"i_liv_jobs_cf","LIV","Livelihoods model variable","jobs (CF)","6F","count","6F_liv_jobs_cf.csv",,"country_id","value","year",,,TRUE,,,,,"NA count",,171
"i_liv_jobs_mar","LIV","Livelihoods model variable","jobs (MAR)","6F","count","6F_liv_jobs_mar.csv",,"country_id","value","year",,,TRUE,,,,,"NA count",,171
"i_liv_jobs_mmw","LIV","Livelihoods model variable","jobs (MMW)","6F","count","6F_liv_jobs_mmw.csv",,"country_id","value","year",,,TRUE,,,,,"NA count",,171
"i_liv_jobs_tour","LIV","Livelihoods model variable","jobs (TOUR)","6F","count","6F_liv_jobs_tour.csv",,"country_id","value","year",,,TRUE,,,,,"NA count",,171
"i_liv_jobs_wte","LIV","Livelihoods model variable","jobs (WTE)","6F","count","6F_liv_jobs_wte.csv",,"country_id","value","year",,,TRUE,,,,,"NA count",,171
"i_liv_wages","LIV","Livelihoods model variable","wages","6F","USD","6F_liv_wages.csv",,"country_id","category","year",,,TRUE,,,,"value","NA usd",,171
"i_liv_wages_adj_lilo","LIV","Livelihoods model variable","wages adjustment (ILO)","6F","USD","6F_liv_wages_adj_lilo.csv",,"country_id","value","year",,,TRUE,,,,,"NA usd",,171
"i_tr_arrivals","TR","Tourism and Recreation model variable","arrivals","6G","persons","6G_tr_arrivals.csv","region_id",,"category","year",,,TRUE,,,,"value","NA persons",,171
"i_tr_avgdays","TR","Tourism and Recreation model variable","average days","6G","days","6G_tr_avgdays.csv","region_id",,"category","year",,,TRUE,,,,"value","NA days",,171
"i_tr_oceania","TR","Tourism and Recreation model variable","geographical region clusters","6G","score","6G_tr_oceania.csv",,,"category",,,,TRUE,,,,"value","NA score",8,171
"i_ico_species","ICO","Iconic Species model variable","species priorities","6H","count","6H_ico_species.csv","region_id",,"category",,,,TRUE,,,,"value","NA count",,171
"i_lsp_cmpa","LSP","Lasting Special Places model variable","coastal marine protected areas","6H","km2","6H_lsp_cmpa.csv","region_id",,"value","year",,,TRUE,,,,,"NA km2",,171
"i_lsp_cp","LSP","Lasting Special Places model variable","coastal protected areas","6H","km2","6H_lsp_cp.csv","region_id",,"value","year",,,TRUE,,,,,"NA km2",,171
"i_cw_status","CW","Clean Waters model variable","status per component","6I","score","6I_cw_status.csv","region_id",,"category",,,,TRUE,,,,"value","NA score",,171
"i_cw_trend","CW","Clean Waters model variable","trend per component","6I","score","6I_cw_trend.csv","region_id",,"category",,,,TRUE,,,,"value","NA score",,171
"i_hab_health","HAB","Habitats model variable","current vs. reference condition (Cc/Cr)","6J","ratio","6J_hab_health.csv","region_id",,"category",,,,TRUE,,,,"value","NA ratio",,171
"i_hab_presence","HAB","Habitats model variable","habitat presence (wk)","6J","boolean","6J_hab_presence.csv","region_id",,"category",,,,TRUE,,,,"value","NA boolean",,171
"i_spp_status","SPP","Species model variable","status","6J","score","6J_spp_status.csv","region_id",,"value",,,,TRUE,,,,,"NA score",,171
