"country_id","value"
"AFG",0.37
"AGO",0.57
"ALB",0.98
"AND",1
"ARE",0.97
"ARG",0.9
"ARM",0.9
"AUS",1
"AUT",1
"AZE",0.45
"BDI",0.46
"BEL",1
"BEN",0.12
"BFA",0.11
"BGD",0.53
"BGR",1
"BHS",1
"BIH",0.95
"BLR",0.93
"BLZ",0.9
"BOL",0.25
"BRA",0.8
"BRB",1
"BWA",0.6
"CAF",0.34
"CAN",1
"CHE",1
"CHL",0.96
"CHN",0.55
"CIV",0.23
"CMR",0.47
"COD",0.23
"COL",0.74
"COM",0.36
"CPV",0.54
"CRI",0.95
"CUB",0.91
"CYM",0.96
"CYP",1
"CZE",0.98
"DEU",1
"DJI",0.56
"DNK",1
"DOM",0.83
"DZA",0.95
"ECU",0.92
"EGY",0.94
"ERI",0.14
"ESP",1
"EST",0.95
"ETH",0.12
"FIN",1
"FRA",1
"GAB",0.33
"GBR",1
"GEO",0.95
"GHA",0.13
"GIN",0.19
"GMB",0.67
"GNB",0.21
"GRC",0.98
"GRD",0.97
"GTM",0.81
"GUM",0.99
"GUY",0.81
"HND",0.71
"HRV",0.99
"HTI",0.17
"HUN",1
"IDN",0.52
"IND",0.31
"IRL",0.99
"IRQ",0.73
"ISL",1
"ISR",1
"JAM",0.83
"JOR",0.98
"JPN",1
"KAZ",0.97
"KEN",0.31
"KGZ",0.93
"KHM",0.29
"KNA",0.96
"KOR",1
"KWT",1
"LAO",0.53
"LBR",0.17
"LBY",0.97
"LKA",0.91
"LSO",0.29
"LUX",1
"MAR",0.69
"MCO",1
"MDG",0.11
"MDV",0.98
"MEX",0.85
"MHL",0.73
"MLI",0.36
"MLT",1
"MMR",0.81
"MNG",0.5
"MOZ",0.17
"MRT",0.26
"MUS",0.91
"MWI",0.56
"MYS",0.96
"NAM",0.33
"NER",0.09
"NGA",0.32
"NIC",0.52
"NLD",1
"NOR",1
"NPL",0.31
"PAK",0.45
"PAN",0.69
"PER",0.68
"PHL",0.76
"PNG",0.45
"PRT",1
"PRY",0.7
"PSE",0.89
"PYF",0.98
"QAT",1
"ROU",0.72
"RUS",0.87
"RWA",0.54
"SDN",0.34
"SEN",0.51
"SGP",1
"SLE",0.13
"SLV",0.87
"SOM",0.23
"STP",0.26
"SUR",0.84
"SVK",1
"SVN",1
"SWE",1
"SWZ",0.55
"SYR",0.96
"TCD",0.09
"TGO",0.12
"THA",0.96
"TJK",0.94
"TKM",0.98
"TON",0.96
"TTO",0.92
"TUN",0.85
"TUR",0.9
"TUV",0.84
"TZA",0.24
"UGA",0.48
"UKR",0.95
"URY",1
"USA",1
"UZB",1
"VNM",0.75
"VUT",0.52
"WSM",1
"YEM",0.52
"ZAF",0.77
"ZMB",0.49
"ZWE",0.44
