"dimension","region_id","region_label","score_o","score","score_dif"
"status",118,"Anguilla",100,0.860288851881078,-99.1397111481189
"status",31,"Seychelles",100,1.49612200777742,-98.5038779922226
"status",220,"Sint Maarten",100,4.17854585199381,-95.8214541480062
"status",245,"Bonaire",100,4.17854585199381,-95.8214541480062
"status",248,"Saba",100,4.17854585199381,-95.8214541480062
"status",249,"Sint Eustatius",100,4.17854585199381,-95.8214541480062
"status",250,"Aruba",100,7.61763504556916,-92.3823649544308
"status",113,"Cayman Islands",87.78,1.37084506182565,-86.4091549381744
"status",56,"Cape Verde",100,15.2010592585899,-84.7989407414101
"status",244,"Curacao",72.88,4.17854585199381,-68.7014541480062
"status",117,"British Virgin Islands",63.83,1.84347611117374,-61.9865238888263
"status",108,"Bermuda",100,42.7707293493107,-57.2292706506893
"status",111,"Turks and Caicos Islands",100,42.7707293493107,-57.2292706506893
"status",120,"Antigua and Barbuda",100,42.7707293493107,-57.2292706506893
"status",121,"Montserrat",100,42.7707293493107,-57.2292706506893
"status",126,"Trinidad and Tobago",100,42.7707293493107,-57.2292706506893
"status",221,"Northern Saint-Martin",100,42.7707293493107,-57.2292706506893
"status",186,"Montenegro",52.4,2.03297409013365,-50.3670259098663
"status",123,"Dominica",92.16,42.7707293493107,-49.3892706506893
"status",7,"Solomon Islands",22.12,63.0536897240794,40.9336897240794
"status",114,"Haiti",6.16,42.7707293493107,36.6107293493107
"status",205,"Myanmar",9.57,44.7041309763437,35.1341309763437
"status",6,"Vanuatu",97.17,63.0536897240794,-34.1163102759206
"status",14,"Taiwan",27.84,1.53606441368227,-26.3039355863177
"status",119,"Saint Kitts and Nevis",66.82,42.7707293493107,-24.0492706506893
"status",29,"Mayotte",10.29,30.1444716363929,19.8544716363929
"status",30,"Glorioso Islands",10.29,30.1444716363929,19.8544716363929
"status",33,"Juan de Nova Island",10.29,30.1444716363929,19.8544716363929
"status",44,"Somalia",10.29,30.1444716363929,19.8544716363929
"status",45,"Eritrea",10.29,30.1444716363929,19.8544716363929
"status",46,"Djibouti",10.29,30.1444716363929,19.8544716363929
"status",247,"Brunei",26.6,44.7041309763437,18.1041309763437
"status",43,"Kenya",12.09,30.1444716363929,18.0544716363929
"status",168,"Suriname",8.36,26.1706067871688,17.8106067871688
"status",41,"Mozambique",13.23,30.1444716363929,16.9144716363929
"status",140,"Guadeloupe and Martinique",17.74,2.1199975278498,-15.6200024721502
"status",32,"R_union",15.33,0.780601481326409,-14.5493985186736
"status",28,"Comoro Islands",16.43,30.1444716363929,13.7144716363929
"status",194,"Guinea",5.67,15.2010592585899,9.53105925858989
"status",99,"Benin",6.58,15.2010592585899,8.62105925858989
"status",26,"Andaman and Nicobar",36.87,44.7041309763437,7.83413097634371
"status",231,"East Timor",36.87,44.7041309763437,7.83413097634371
"status",237,"Oecussi Ambeno",36.87,44.7041309763437,7.83413097634371
"status",24,"Cambodia",58.77,66.209392536713,7.43939253671302
"status",96,"Sierra Leone",7.87,15.2010592585899,7.33105925858989
"status",164,"Belize",93.03,100,6.97
"status",198,"Gabon",6.31,12.8927063625718,6.58270636257177
"status",78,"Lebanon",85.16,91.6760737332346,6.51607373323456
"status",61,"Tunisia",56.36,62.8217543058313,6.46175430583132
"status",38,"British Indian Ocean Territory",56.87,63.2331013695203,6.36310136952033
"status",195,"Ivory Coast",8.85,15.2010592585899,6.35105925858989
"status",196,"Nigeria",8.88,15.2010592585899,6.32105925858989
"status",127,"Saint Vincent and the Grenadines",37.11,42.7707293493107,5.66072934931066
"status",103,"Sao Tome and Principe",33.19,38.7338622760831,5.54386227608308
"status",62,"Morocco",67.01,72.2024938269156,5.19249382691559
"status",166,"Jamaica",70.72,75.8879113779099,5.16791137790995
"status",214,"Egypt",54.91,59.9246850314395,5.01468503143952
"status",64,"Mauritania",19.81,15.2010592585899,-4.60894074141011
"status",97,"Liberia",19.81,15.2010592585899,-4.60894074141011
"status",193,"Guinea Bissau",19.81,15.2010592585899,-4.60894074141011
"status",77,"Syria",70.96,75.4386496883876,4.47864968838761
"status",167,"Guyana",35.79,40.1454418006144,4.35544180061439
"status",133,"Honduras",36.31,40.2299579719999,3.91995797199993
"status",51,"Kuwait",32.46,36.3649621522811,3.90496215228105
"status",215,"Jordan",59.19,63.0266915188838,3.83669151888382
"status",52,"Bahrain",68.14,71.9252488230615,3.78524882306152
"status",63,"Western Sahara",35.75,39.4735920160329,3.72359201603287
"status",47,"Yemen",16.43,20.1055302295339,3.67553022953386
"status",169,"French Guiana",22.58,26.1706067871688,3.59060678716877
"status",84,"Algeria",17.81,21.391517589199,3.58151758919898
"status",5,"New Caledonia",59.48,63.0536897240794,3.57368972407944
"status",55,"Azores",63.05,59.4798057832297,-3.57019421677026
"status",57,"Madeira",63.05,59.4798057832297,-3.57019421677026
"status",58,"Canary Islands",63.05,59.4798057832297,-3.57019421677026
"status",60,"Gibraltar",63.05,59.4798057832297,-3.57019421677026
"status",203,"India",46.31,49.5739975300648,3.2639975300648
"status",115,"Dominican Republic",35.65,38.9057035866641,3.25570358666412
"status",131,"Nicaragua",28.34,31.5587617029356,3.21876170293561
"status",187,"Croatia",80.57,83.4457601721724,2.87576017217238
"status",65,"Gambia",26.8,29.663097209957,2.86309720995699
"status",135,"Mexico",64.56,67.4121414650017,2.85214146500167
"status",53,"Pakistan",16.41,19.2009948633061,2.79099486330606
"status",139,"Venezuela",19.04,21.8253924838124,2.78539248381239
"status",101,"Namibia",26.01,28.6801526732066,2.67015267320663
"status",82,"Albania",31.86,34.495320754821,2.635320754821
"status",104,"Equatorial Guinea",10.26,12.8927063625718,2.63270636257177
"status",125,"Grenada",45.35,42.7707293493107,-2.57927065068934
"status",102,"South Africa",36.45,38.9628861977967,2.51288619779668
"status",207,"Vietnam",28.79,31.2280079565857,2.43800795658572
"status",136,"Guatemala",20.12,22.4537983804359,2.33379838043588
"status",134,"El Salvador",18.81,21.1220879131577,2.31208791315771
"status",42,"Madagascar",11.36,13.6070044459938,2.24700444599377
"status",19,"Tuvalu",30.68,28.4517983717466,-2.22820162825345
"status",146,"Pitcairn",30.68,28.4517983717466,-2.22820162825345
"status",147,"French Polynesia",30.68,28.4517983717466,-2.22820162825345
"status",151,"American Samoa",30.68,28.4517983717466,-2.22820162825345
"status",152,"Samoa",30.68,28.4517983717466,-2.22820162825345
"status",153,"Cook Islands",30.68,28.4517983717466,-2.22820162825345
"status",154,"Niue",30.68,28.4517983717466,-2.22820162825345
"status",155,"Tonga",30.68,28.4517983717466,-2.22820162825345
"status",156,"Tokelau",30.68,28.4517983717466,-2.22820162825345
"status",161,"Wallis and Futuna",30.68,28.4517983717466,-2.22820162825345
"status",206,"Malaysia",74.14,76.2959287343911,2.1559287343911
"status",172,"Argentina",32.31,34.4271950876041,2.11719508760407
"status",80,"Greece",78.77,80.8221056836768,2.05210568367677
"status",130,"Costa Rica",44.64,46.6699903909444,2.02999039094436
"status",25,"Thailand",46.2,48.2084547369393,2.00845473693933
"status",40,"Sri Lanka",24.4,26.3724244938083,1.97242449380831
"status",204,"Bangladesh",11.37,13.3220237263849,1.95202372638485
"status",129,"Panama",49.96,51.9071815508318,1.94718155083175
"status",232,"Bosnia and Herzegovina",18.61,20.4956897110368,1.88568971103679
"status",74,"Georgia",24.5,26.2544875065426,1.7544875065426
"status",216,"Indonesia",22.57,24.3220655461739,1.75206554617387
"status",132,"Colombia",19.4,21.1382522303165,1.73825223031655
"status",202,"Tanzania",12.43,14.1589506494401,1.72895064944012
"status",48,"Oman",29.53,31.1960546529216,1.66605465292159
