rgn_id,habitat,year,km2
1,seaice_edge,2016,503951.231060606
1,seaice_shoreline,2016,702518.939393937
2,seaice_edge,2016,503951.231060606
2,seaice_shoreline,2016,702518.939393937
3,seaice_edge,2016,503951.231060606
3,seaice_shoreline,2016,702518.939393937
4,seaice_edge,2016,503951.231060606
4,seaice_shoreline,2016,702518.939393937
5,seaice_edge,2016,503951.231060606
5,seaice_shoreline,2016,702518.939393937
6,seaice_edge,2016,503951.231060606
6,seaice_shoreline,2016,702518.939393937
7,seaice_edge,2016,503951.231060606
7,seaice_shoreline,2016,702518.939393937
8,seaice_edge,2016,503951.231060606
8,seaice_shoreline,2016,702518.939393937
