rgn_id,year,a_prot_3nm
1,2000,18246.75
1,2001,18796
1,2002,18796.5
1,2003,21097.25
1,2004,21123.5
1,2005,22511.75
1,2006,22829.25
1,2007,22993.75
1,2008,25309
1,2009,25352.75
1,2010,30196.5
1,2011,30260.5
1,2012,30260.75
1,2013,30635.25
1,2014,30635.5
1,2015,30635.5
2,2000,18246.75
2,2001,18796
2,2002,18796.5
2,2003,21097.25
2,2004,21123.5
2,2005,22511.75
2,2006,22829.25
2,2007,22993.75
2,2008,25309
2,2009,25352.75
2,2010,30196.5
2,2011,30260.5
2,2012,30260.75
2,2013,30635.25
2,2014,30635.5
2,2015,30635.5
3,2000,18246.75
3,2001,18796
3,2002,18796.5
3,2003,21097.25
3,2004,21123.5
3,2005,22511.75
3,2006,22829.25
3,2007,22993.75
3,2008,25309
3,2009,25352.75
3,2010,30196.5
3,2011,30260.5
3,2012,30260.75
3,2013,30635.25
3,2014,30635.5
3,2015,30635.5
4,2000,18246.75
4,2001,18796
4,2002,18796.5
4,2003,21097.25
4,2004,21123.5
4,2005,22511.75
4,2006,22829.25
4,2007,22993.75
4,2008,25309
4,2009,25352.75
4,2010,30196.5
4,2011,30260.5
4,2012,30260.75
4,2013,30635.25
4,2014,30635.5
4,2015,30635.5
5,2000,18246.75
5,2001,18796
5,2002,18796.5
5,2003,21097.25
5,2004,21123.5
5,2005,22511.75
5,2006,22829.25
5,2007,22993.75
5,2008,25309
5,2009,25352.75
5,2010,30196.5
5,2011,30260.5
5,2012,30260.75
5,2013,30635.25
5,2014,30635.5
5,2015,30635.5
6,2000,18246.75
6,2001,18796
6,2002,18796.5
6,2003,21097.25
6,2004,21123.5
6,2005,22511.75
6,2006,22829.25
6,2007,22993.75
6,2008,25309
6,2009,25352.75
6,2010,30196.5
6,2011,30260.5
6,2012,30260.75
6,2013,30635.25
6,2014,30635.5
6,2015,30635.5
7,2000,18246.75
7,2001,18796
7,2002,18796.5
7,2003,21097.25
7,2004,21123.5
7,2005,22511.75
7,2006,22829.25
7,2007,22993.75
7,2008,25309
7,2009,25352.75
7,2010,30196.5
7,2011,30260.5
7,2012,30260.75
7,2013,30635.25
7,2014,30635.5
7,2015,30635.5
8,2000,18246.75
8,2001,18796
8,2002,18796.5
8,2003,21097.25
8,2004,21123.5
8,2005,22511.75
8,2006,22829.25
8,2007,22993.75
8,2008,25309
8,2009,25352.75
8,2010,30196.5
8,2011,30260.5
8,2012,30260.75
8,2013,30635.25
8,2014,30635.5
8,2015,30635.5
